id,bolts,Total ODG
0x17f6ef86d43b0cedca8a214fa36a961c3c7f5c3e,15380290,1000
0x1df428833f2c9fb1ef098754e5d710432450d706,8514861,1000
0x52f1f12f0cc811e2e08315d85a08a5a5693689a2,3659699,1000
0x3e893426e65cf198d4df266b77cfa46559c815ee,3048291,1000
0xaa15eaa5fac15b47d2b8a695d2f84a44c2b46115,1545094,1000
0x9492510bbcb93b6992d8b7bb67888558e12dcac4,1408061,1000
0x9e07ecd4f5074a2eeac9c42df6508e3ec6373ef3,1240782,1000
0x0272ec6b528511f6d6d10f034df8eab8ec2e6fec,840737,1000
0x139776871ee95f55d20b10d9ba5a0385451066cd,734486,1000
0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,621264,1000
0x57ef2b98306d2c98f2fcebbdd05090c75982af72,527467,1000
0x223c381a3aae44f7e073e66a8295dce2955e0098,450056,1000
0x247b7e245002e6b525782366dec32446f645320d,269201,1000
0x5fdb500ba1d9b6be0c164ce609277cd968c5d45e,230936,1000
0xaeaf20615536f34d95f64fc0faf71e91fd8812c6,203691,477.2727
0x608303ef39ef3729e289be77343d96e3ceb3bb6a,173137,477.2727
0xc9b7f062a8fd06ca0af3055a82692d6d55f64232,172909,477.2727
0x028b2b9adca1bd1263086b0b221713a684968817,156555,477.2727
0x6604b79b688a2e78414f1b91d9a4f2ee4bd51cf6,151051,477.2727
0x366bf4c8a1517e2ea6cb5085679742ff92f14b54,142811,477.2727
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,131001,477.2727
0xa83eac81093fd03170260c733caaf1722be5342c,130787,477.2727
0x02077764aa4b88b12a145314d5e8a920c754eae2,119587,477.2727
0x00002eb28505c1202b8d4beb9f5134f6b67b9d8f,110770,477.2727
0x566ba67fe980ac4626de61c8c9f90ff569f214ae,101403,477.2727
0x95e9a0c113aa9931a4230f91ade08a491d3f8d54,90197,477.2727
0x052d62a6479e3c027afff55385f2ba53ffe8ba58,80841,477.2727
0xfb44496ef7ce7dc94da1ec9f45115c80bba1778d,79831,477.2727
0xcf017f65819ce8aa3f980d5a55a913238aab725f,75923,477.2727
0x2408b89c36c6e9020dd747f3b64ee58f5467c4d3,67304,477.2727
0x962de35217e9d4d0d79e8106a3d5ea121fe71685,62090,477.2727
0x8ccfcfa7e6133e0875192974d0d857fb7a28375e,52852,477.2727
0x3038428b55e18346b43c36acc98ee6ba61b4a6c8,52021,477.2727
0xf64484970e9fcc46e85ee624db5819bc981cd646,51312,477.2727
0xbb16140fa27913b255da586bc08c3801e6c19a21,50325,477.2727
0xc5233c3b46c83adee1039d340094173f0f7c1ecf,47599,477.2727
0x34081c0fb0560787e8dd886a7203fda9ce6459d0,45809,200
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,41082,200
0x36f341b88d969fd56e8383a99dd13aae96d9b66b,39073,200
0x187089b33e5812310ed32a57f53b3fad0383a19d,38706,200
0xb9e291b68e584be657477289389b3a6deed3e34c,38255,200
0xb8f89400bec36a17381a2dd6cd5cab645ca62c91,33255,200
0x9483ec43d7867c8efc0cd5a49605bfe0a2ec0d42,31640,200
0xd454ed303748bb5a433388f9508433ba5d507030,31130,200
0xa2a3e083928282e812d10117ca860701ff632892,29740,200
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,29159,200
0x2c4a35e74377b3618d5789873299a3f811228e8a,26072,200
0xc5545faf576be5a6cecb869c843d3e8ad184bf08,25475,200
0x04fc1bcef371b27c9126c1bef24c86be0ba0dcd0,24575,200
0x43ee79ff632229c903bedbbea51a3c9084d30835,24500,200
0xc2599f1009669f4cda7ac2493de06d450fc79ef9,24395,200
0xac88c8316c57253a16f482aeb0879020be87db25,23705,200
0x9214b669e835dc875d9e1fcf3a89e89ef15a7d98,23675,200
0x8d51d9661c6792c1d5189d257a7e63a9a2e30a74,23630,200
0x679b2f2953defebbb79e27f4eb282a4c0cbc38f0,23630,200
0xca68811204ae583aa3eaa6d39c4334d8ff46adac,23180,200
0xb2ffc2125b90ab2d20c0c16c55cd7312d7012851,22775,200
0x89616ea430a504b74dc34a63257c2e4d3612351d,22775,200
0xa11af5ef0116d99d86a93795cf2177888d3f2988,22365,200
0xc5afc3a0f462c5a387393421b6a253204a3be8d2,21785,200
0xbad58e133138549936d2576ebc33251be841d3e9,21433,200
0x2f27ea995e0e6f8de0a4d944ddea3919b2147fd5,20975,200
0x50143ac8f5e5c1e7611f898c5533a3397011b0fb,20975,200
0x36e7320f79aa92871a4bd9a54f583893909a074a,20941,200
0x0c02bf4abbac35422bd14cf2dc72753a21a0878a,20710,200
0xdd0f92addc02b599441c6b65e72eee267797fb6b,20705,200
0xdd594463a4a809eb8bdb0f15b060aa38573f6a14,20426,200
0xe02e36ae1e86848e8a0dfea3ece0e394436633f0,20247,200
0xae451769f0fa80c43f19cd6a6b6f53991dd73191,20102,200
0x343aeff4654a234804eefd1f6fcde90aabb90d51,20030,200
0xdb04fb6dce38deb91969f40bf6e0d164dce03b68,19735,200
0x293f89d437e0e076a01d15a6718d6d5d66223193,19080,49.2957
0xc9e848babda9e833830fd6bf1ddc55ba813ae08d,18720,49.2957
0xcaef42d212f54c4f3de3fe28c1fd22b3d08fd66e,18330,49.2957
0xdd33cec86ace157af44283cdc88daa5227a16b7e,18254,49.2957
0xaf1beb9008827749773a2ea63308ba212e88cd6a,18230,49.2957
0xb3677f6f3d2f529824a021db5d94b61ebbce8563,18016,49.2957
0x6cde951b5c32bc04dbf466804e0fc5a9e63c8797,18005,49.2957
0x9bf80173d56b6ae897824a47eeadd20c1140597a,17280,49.2957
0x5a4b129605391318dd593a8df83591117ca1c7cf,17240,49.2957
0xd88f6e4e70e2951f13de1a1e6dde814c89879abd,16520,49.2957
0x97d07b19bba91223d0df5ef001c8ecc333af92f8,16160,49.2957
0x5e699f0140039be57ca8c27ee5b4697aa0769b57,16065,49.2957
0xd14b7767924853738477770f52c6f977532e052f,15951,49.2957
0x4a82c7e1a6887f30ed4e62e6d6e1f4921aeceaab,15880,49.2957
0xb5ded36b90ca73ded492d9bdcefdfb4f737a5e0a,15821,49.2957
0x56485da819b2c7366c0fc44b69e42c3173b9bc75,15780,49.2957
0xafb011715e6e22dcad48e7ae78f52dbbc34233c5,15647,49.2957
0x765a16ca391a6b9249cfa65bf2d14c38722198e3,15390,49.2957
0x829d4f200992f98f7a64831b594c581dd947472f,15355,49.2957
0x88717ff82748049d47ffd52f6dc2f78d59002711,14940,49.2957
0xa37ef19c80de0e357c7d3f887481667d27fe89e2,14765,49.2957
0x28cd26d85b4ac655a489aa3f259f81283bd1a804,14580,49.2957
0x09c6230e43acdf4aa89ccab18c5cfd3f780459b7,14549,49.2957
0x8fd8ae51f56c9251d6f4d9a437672df7ee073962,14220,49.2957
0x4242c91c1dd95d7b60b97a876d65cf92d691427d,13864,49.2957
0xad08506e384bd79e2a0f647c49d436f921483460,13725,49.2957
0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,13666,49.2957
0x258d972078927454aa2d8536931a99fd54029031,13550,49.2957
0x507832c92ade971b9a2880427353c6ce6d0ffe53,13365,49.2957
0x8717a864e8d69066ea50dc0b6ff4040edcaacf2a,12915,49.2957
0xbd680338b781ccbdaafdf25e902f54b4a4974600,12825,49.2957
0x470fd974458adb241774bf59fedd74026446d231,12780,49.2957
0xd6c3280e7b610b58ebd4c36ca707d717c2683c3e,12735,49.2957
0xd4d66acc07318b5b20cb46e684cdc7f5f1c148b0,12676,49.2957
0x4688b6f3c384c3cffe95c92f599213de4a9fa9ca,12478,49.2957
0xf3b059c887172f2cc52b5e77ee3b2c8b3a32e6ef,12328,49.2957
0x58cb0cd5b50613eb1cb1f016efb09cff538a41ab,12105,49.2957
0x42022c4c5b185cc871c898e729d765e26754bf03,12060,49.2957
0x75dad027a17600b113d9cdd1172339ef72d43d34,11885,49.2957
0x5725a458b319d73b8ec84c47de80620e7b191b0c,11884,49.2957
0xb7d8e0f586f0838dcc6bdaa25d608472cc419b60,11796,49.2957
0xe4b420f15d6d878dcd0df7120ac0fc1509ee9cab,11738,49.2957
0x69e53b0c02eaae16b23e019470b24c6c709d4663,11682,49.2957
0xb7025e51a5dcca0cb1c03f66fe31f5dcffd599aa,11635,49.2957
0xea2fc2ed571daf216cd30fdd71f310109d6bb318,11565,49.2957
0x855795467993c7bf2fdafb9476e1daab26df6e98,11447,49.2957
0xd5187e145a7122d3800f5c30b8efc9a63526f7f0,11425,49.2957
0xeb47dfd9080a93b9e73b7e0e464f7ffad8f424ef,11395,49.2957
0x953d2c6002700c439b47dbe6bc6fc0f49676dc7d,11345,49.2957
0x1d9ee1f6d16435ac7aab8a5e88776e4b701194e8,11340,49.2957
0x35a28437379e0099b08325f81ac2905d2037e1c6,11300,49.2957
0xfaaf73fa076f0fe2fc4cf432ec8711276b007c35,11255,49.2957
0xf05e75e42272ec60ba6157d647924fd2de7a9495,11070,49.2957
0x1fe2886027ae69c2eb4be51bdf9cababe7f436b8,11030,49.2957
0xdab67f0c81048ee638a82991de89b3ab91c71f10,10985,49.2957
0x8d106c747cd21272d4c9ff0af8d53a9c9aca25d2,10791,49.2957
0xf83c8f5afd3d55aa74cea7edd9fb43dc2e8d2efe,10715,49.2957
0xabb8fc1e63afa6e24af0b53b2940a67ef4900d9e,10710,49.2957
0x25d00604aa38675e550f0dd2ce911eb3ea6e8455,10620,49.2957
0xdb6608f35ebd6deac39f729ab87dad9c8c92d188,10580,49.2957
0xc44caeb7f0724a156806664d2361fd6f32a2d2c8,10463,49.2957
0xeb5312bf6c8c3a90e5da4c5e934a1a329421c271,10445,49.2957
0xbc99a6d7d1a0756f85e343092f6df70344400fd9,10400,49.2957
0x380f200e11766fe86a24f4b9bd57d730813a746e,10350,49.2957
0x168aeb46bd46039c191c506e1247c91e04de540a,10310,49.2957
0xf4792c2a7ed512439b120ac24d314fc5baa0f2c9,10301,49.2957
0x6845bad4930d76a16eafee80d43c4803f85c63aa,10296,49.2957
0xc4ba62e906e8c0ceb76cd5b46f659abfe39ecb88,10260,49.2957
0x66fabcb45e56d26e0d3acee9b0331e17858d784b,10040,49.2957
0x00e796bd5decad695251159ff571901336b75ff4,10025,49.2957
0xa46ffa5adc837269669eeb9adb183c380b608aae,10013,49.2957